index,datetime,wall_time,num_env,num_episodes,learning_rate,hidden_layers,min_reward,max_reward,mean_reward,reward_variance,mean_actor_loss,mean_critic_loss,mean_entropy_loss,mean_overall_loss
0,20210407-003658,127.93577520200003,6,50000,0.001,"(32, 32)",14.9,119.6,72.66199999999999,25.978005235198488,-0.10722807213896826,2.42104439533448,-3.22899555683136,2.3106003895982283
1,20210407-003658,125.21537914199996,6,50000,0.001,"(64, 64)",16.5,148.4,90.462,30.42119583448356,-0.10751617150514116,2.086534028534334,-3.17665771484375,1.9758377702338388
2,20210407-003658,128.042971476,6,50000,0.001,"(128, 128)",15.4,142.1,98.764,27.70934687068607,-0.1073100725279418,1.8928728663544505,-3.1673620653152468,1.7824184411410824
3,20210407-003658,126.46709818199997,6,50000,0.002,"(32, 32)",18.3,144.8,94.37,31.175100641377245,-0.10865826478577671,1.8885850057116604,-3.132314877510071,1.7767825238411548
4,20210407-003658,127.82372352799996,6,50000,0.002,"(64, 64)",14.8,171.7,104.22000000000001,34.55170039231065,-0.10697721072833771,1.7818160610158935,-3.0767735195159913,1.6717159949625027
5,20210407-003658,128.51222623799993,6,50000,0.002,"(128, 128)",18.2,179.4,103.89200000000001,41.399540287302706,-0.11370119386491247,1.737144707925921,-3.084154028892517,1.6203552032794337
6,20210407-003658,125.38392934799992,6,50000,0.003,"(32, 32)",24.0,169.2,95.66599999999998,30.589557760778433,-0.11155647424485039,1.788119191592066,-3.1340982580184935,1.6734255210081581
7,20210407-003658,131.23990254900013,6,50000,0.003,"(64, 64)",15.9,200.0,110.43799999999999,33.3171600830563,-0.10012055916096704,1.5767402535949135,-3.0954746294021604,1.4735190573532366
8,20210407-003658,131.294766083,6,50000,0.003,"(128, 128)",24.7,180.4,114.46599999999998,34.29441709666458,-0.10668688546174736,1.5808493029471469,-3.0576866722106932,1.4711043702567812
9,20210407-003658,240.32532797599993,6,100000,0.001,"(32, 32)",23.2,151.8,83.12700000000001,23.73028805134906,-0.13116375508772166,2.1349064320629303,-3.202751114368439,2.000557996096852
10,20210407-003658,247.77357237799993,6,100000,0.001,"(64, 64)",14.1,161.8,96.39200000000002,29.14258629566017,-0.1210645284599072,1.8717435254645116,-3.149056136608124,1.747523044366046
11,20210407-003658,251.19797333799988,6,100000,0.001,"(128, 128)",18.6,152.2,98.916,25.31289284139606,-0.11863920264668004,1.7466437050528432,-3.1168613862991332,1.6248783179854276
12,20210407-003658,251.88810266200016,6,100000,0.002,"(32, 32)",19.8,174.4,99.24599999999998,29.330023593580687,-0.12093695477699053,1.7871885658707047,-3.0934554076194765,1.6631386462166846
13,20210407-003658,261.29893458900005,6,100000,0.002,"(64, 64)",17.1,169.4,104.15499999999999,27.90484680122792,-0.11719570314893583,1.6716150931012577,-3.1003449416160582,1.5513158484305838
14,20210407-003658,254.51038427699996,6,100000,0.002,"(128, 128)",18.4,164.1,103.573,29.9216739337892,-0.1124422119986357,1.5528247942214433,-3.094554138183594,1.4373168305226252
15,20210407-003658,250.1055575260002,6,100000,0.003,"(32, 32)",23.8,165.0,98.971,26.579892005047725,-0.12078351135230869,1.715397009443044,-3.084650557041168,1.5915239953120646
16,20210407-003658,254.87415347100023,6,100000,0.003,"(64, 64)",18.7,187.0,106.02,29.010094794743434,-0.11248649781076274,1.564101864274057,-3.073408774137497,1.4485602829592361
17,20210407-003658,256.62345445899973,6,100000,0.003,"(128, 128)",31.0,158.2,108.654,26.519356779529932,-0.1103607108026647,1.5032599815139527,-3.0242095041275023,1.3898767691557588
18,20210407-003658,155.62644731399996,12,50000,0.001,"(32, 32)",20.3,184.4,98.568,35.57334080459692,-0.047564331012166575,1.8250155710602063,-3.158116202354431,1.7742898982964224
